protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
heldout,48,48,over_m,16.0,32,3,0.12039973586797714,0.3331320285797119,0.21273229271173477
heldout,48,48,over_m,16.0,64,0,0.07130560278892517,0.19459794461727142,0.12329234182834625
heldout,48,48,over_m,16.0,64,1,0.07578811794519424,0.21941889822483063,0.14363078027963638
heldout,48,48,over_m,16.0,64,2,0.04745570197701454,0.6927323937416077,0.6452766917645931
heldout,48,48,over_m,16.0,64,3,0.11064822226762772,0.2153875231742859,0.10473930090665817
heldout,48,48,over_m,16.0,128,0,0.08822400122880936,0.18926072120666504,0.10103671997785568
heldout,48,48,over_m,16.0,128,1,0.10076290369033813,0.2171044796705246,0.11634157598018646
heldout,48,48,over_m,16.0,128,2,0.06678331643342972,0.7023215889930725,0.6355382725596428
heldout,48,48,over_m,16.0,128,3,0.11851254105567932,0.23248113691806793,0.11396859586238861
heldout,48,48,none,0.0,16,0,0.988804280757904,0.8727257251739502,-0.11607855558395386
heldout,48,48,none,0.0,16,1,1.9586071968078613,0.8672360777854919,-1.0913711190223694
heldout,48,48,none,0.0,16,2,1.3336710929870605,0.8920268416404724,-0.44164425134658813
heldout,48,48,none,0.0,16,3,0.9210044741630554,0.9465706944465637,0.0255662202835083
heldout,48,48,none,0.0,32,0,1.0108991861343384,1.104019284248352,0.09312009811401367
heldout,48,48,none,0.0,32,1,1.337496280670166,0.9980669617652893,-0.3394293189048767
heldout,48,48,none,0.0,32,2,1.1440820693969727,1.173924446105957,0.029842376708984375
heldout,48,48,none,0.0,32,3,1.1685905456542969,1.131604790687561,-0.03698575496673584
heldout,48,48,none,0.0,64,0,0.8895643353462219,0.9320917129516602,0.04252737760543823
heldout,48,48,none,0.0,64,1,0.8287885785102844,0.8466947674751282,0.01790618896484375
heldout,48,48,none,0.0,64,2,0.7951768040657043,0.927934467792511,0.13275766372680664
heldout,48,48,none,0.0,64,3,1.0130757093429565,0.9513585567474365,-0.06171715259552002
heldout,48,48,none,0.0,128,0,0.6901306509971619,0.6928221583366394,0.002691507339477539
heldout,48,48,none,0.0,128,1,0.6796842217445374,0.6589698195457458,-0.020714402198791504
heldout,48,48,none,0.0,128,2,0.6948632597923279,0.7219853401184082,0.027122080326080322
heldout,48,48,none,0.0,128,3,0.7107601165771484,0.7162837386131287,0.005523622035980225
heldout,48,48,none,2.0,16,0,0.9257609248161316,1.0905503034591675,0.1647893786430359
heldout,48,48,none,2.0,16,1,1.4073896408081055,1.0870721340179443,-0.32031750679016113
heldout,48,48,none,2.0,16,2,0.951608419418335,1.05349600315094,0.10188758373260498
heldout,48,48,none,2.0,16,3,0.9442972540855408,1.1611453294754028,0.21684807538986206
heldout,48,48,none,2.0,32,0,1.250975489616394,1.2245515584945679,-0.026423931121826172
heldout,48,48,none,2.0,32,1,1.0832270383834839,1.1198019981384277,0.03657495975494385
heldout,48,48,none,2.0,32,2,0.9974377751350403,1.2851333618164062,0.28769558668136597
heldout,48,48,none,2.0,32,3,1.2718449831008911,1.3338266611099243,0.0619816780090332
heldout,48,48,none,2.0,64,0,0.9081802368164062,0.8171096444129944,-0.09107059240341187
heldout,48,48,none,2.0,64,1,0.8460968136787415,0.8463428616523743,0.0002460479736328125
heldout,48,48,none,2.0,64,2,0.735939085483551,0.8673108220100403,0.13137173652648926
heldout,48,48,none,2.0,64,3,0.8781891465187073,0.9007623195648193,0.02257317304611206
heldout,48,48,none,2.0,128,0,0.6604408621788025,0.6949266791343689,0.034485816955566406
heldout,48,48,none,2.0,128,1,0.698472797870636,0.6695418357849121,-0.028930962085723877
heldout,48,48,none,2.0,128,2,0.626360297203064,0.6592010855674744,0.0328407883644104
heldout,48,48,none,2.0,128,3,0.6907966732978821,0.7090856432914734,0.01828896999359131
heldout,48,48,none,4.0,16,0,0.9433016777038574,1.5848912000656128,0.6415895223617554
heldout,48,48,none,4.0,16,1,1.3225687742233276,1.3598400354385376,0.03727126121520996
heldout,48,48,none,4.0,16,2,1.0983326435089111,0.838784396648407,-0.25954824686050415
heldout,48,48,none,4.0,16,3,2.0622200965881348,1.0822347402572632,-0.9799853563308716
heldout,48,48,none,4.0,32,0,1.2853261232376099,1.2652249336242676,-0.020101189613342285
heldout,48,48,none,4.0,32,1,0.8993486762046814,0.9519466757774353,0.052597999572753906
heldout,48,48,none,4.0,32,2,0.8024101257324219,1.0213497877120972,0.2189396619796753
heldout,48,48,none,4.0,32,3,1.187736988067627,1.129323124885559,-0.05841386318206787
heldout,48,48,none,4.0,64,0,0.7613983154296875,0.8817658424377441,0.12036752700805664
heldout,48,48,none,4.0,64,1,0.7210819125175476,0.8222549557685852,0.1011730432510376
heldout,48,48,none,4.0,64,2,0.6138105988502502,0.8101732134819031,0.19636261463165283
heldout,48,48,none,4.0,64,3,0.8530160784721375,0.9048599600791931,0.051843881607055664
heldout,48,48,none,4.0,128,0,0.5551899075508118,0.7274990081787109,0.17230910062789917
