preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
legacy_fixed_solver,42,1,16,16,256,1.1371278762817383,1.269148826599121,-0.6569074988365173,0.6374273896217346,0.3887428641319275,1.5159856081008911,0.9993307590484619,-8.027909278869629,-13.815510749816895,-4.874420642852783,4,1.0,1.0437906183824452e-07,0.001876571448519826,6.368070558962428,0.8847167491912842,16,2.772588722239781
shift,42,1,16,16,256,0.6467893123626709,0.6678133010864258,-0.5860491394996643,0.5801402926445007,0.292941153049469,0.8725587725639343,0.7721706628799438,-8.027128219604492,-13.815510749816895,-4.869815349578857,4,1.0,1.0437906183824452e-07,0.001876571448519826,6.368070558962428,0.8841500878334045,16,2.772588722239781
am,42,1,16,16,256,0.6835591197013855,0.7127678990364075,-0.6078936457633972,0.600951075553894,0.3153500556945801,0.4658432602882385,0.13840888440608978,0.08158814907073975,-13.815510749816895,1.7139406204223633,1,1.4288642406463623,0.7114567160606384,2.6436824798583984,1.9629017818681709,0.07244860380887985,16,2.772588722239781
am_over_m,42,1,16,16,256,0.6456195116043091,0.6792615056037903,-0.6282921433448792,0.6249998211860657,0.2932063341140747,0.679455041885376,0.614486575126648,0.08158814907073975,-13.815510749816895,1.7139406204223633,1,1.4288642406463623,0.7114567160606384,2.6436824798583984,1.9629017818681709,0.07244860380887985,16,2.772588722239781
am_logfit,42,1,16,16,256,0.6488080024719238,0.6384058594703674,-0.7258561253547668,0.7093991041183472,0.39617371559143066,0.4173719882965088,0.23530863225460052,-2.3105366230010986,-13.815510749816895,2.4125969409942627,3,1.4288642406463623,0.7114567160606384,2.6436824798583984,1.9629017818681709,0.001571904169395566,16,2.772588722239781
am_scalar,42,1,16,16,256,0.6112402677536011,0.6524415612220764,-0.6247025728225708,0.617483377456665,0.29010534286499023,0.4386487901210785,0.18052081763744354,0.8585558533668518,0.8585559129714966,0.8585559129714966,0,1.4288642406463623,0.7114567160606384,2.6436824798583984,1.9629017818681709,0.05698452889919281,16,2.772588722239781
am_nobeta,42,1,16,16,256,0.6112390756607056,0.6524413228034973,-0.6247025728225708,0.6174834370613098,0.29010534286499023,0.6788327097892761,0.6247026324272156,0.0,0.0,0.0,0,1.4288642406463623,0.7114567160606384,2.6436824798583984,1.9629017818681709,0.07244860380887985,16,2.772588722239781
legacy,42,1,32,16,256,1.0639036893844604,1.1320033073425293,-0.7480031251907349,0.726151704788208,0.4403042793273926,1.4608817100524902,0.9943009614944458,-8.796941757202148,-13.815510749816895,-2.1598784923553467,15,1.0,1.0437906183824452e-07,0.0011901846155524254,5.177952806426745,1179.8740234375,16,2.0794415416798357
legacy_fixed_solver,42,1,32,16,256,0.9557160139083862,0.9515063166618347,-0.6541703343391418,0.6472663283348083,0.3733465075492859,1.5160120725631714,0.9992828369140625,-9.1035795211792,-13.815510749816895,-4.856684684753418,11,1.0,1.0437906183824452e-07,0.0011901846155524254,5.177952806426745,0.2543708384037018,16,2.0794415416798357
shift,42,1,32,16,256,0.5212368369102478,0.5128352642059326,-0.4424627721309662,0.43073177337646484,0.1998663693666458,0.7470724582672119,0.6954492926597595,-9.094051361083984,-13.815510749816895,-4.8568434715271,11,1.0,1.0437906183824452e-07,0.0011901846155524254,5.177952806426745,0.2537137269973755,16,2.0794415416798357
