preset,seed,dest,budget,M,L_s,rel_out_err_median,rel_out_err_mean,signed_mass_median,abs_signed_mass_median,js_median,mixture_rel_err_median,abs_mass_common_median,beta_mean,beta_min,beta_max,clamp_hits,mass_target_mean,mass_target_std,needed_compensation_median,needed_compensation_spread,solver_residual,rank_upper_bound,beta_ideal_mass_preserving
am_over_m,42,0,32,16,256,0.4201089143753052,0.4623645544052124,-0.3790024518966675,0.3779430389404297,0.14694908261299133,0.4220285713672638,0.3551885485649109,-0.24986916780471802,-13.815510749816895,1.501366376876831,1,5.454752445220947,1.8992818593978882,1.8181862831115723,1.5747223609082692,0.15383900701999664,16,2.0794415416798357
am_logfit,42,0,32,16,256,0.45745226740837097,0.50384920835495,-0.40078049898147583,0.3675585687160492,0.16836601495742798,0.42106691002845764,0.15965546667575836,0.32055604457855225,-1.615846037864685,1.411571741104126,0,5.454752445220947,1.8992818593978882,1.8181862831115723,1.5747223609082692,0.0012856018729507923,16,2.0794415416798357
am_scalar,42,0,32,16,256,0.42247864603996277,0.45312345027923584,-0.3625396490097046,0.36148640513420105,0.14537879824638367,0.37420132756233215,0.15174178779125214,0.5898874402046204,0.5898874402046204,0.5898874402046204,0,5.454752445220947,1.8992818593978882,1.8181862831115723,1.5747223609082692,0.023837339133024216,16,2.0794415416798357
am_nobeta,42,0,32,16,256,0.42247891426086426,0.4531232416629791,-0.3625396192073822,0.3614863455295563,0.14537881314754486,0.42014768719673157,0.3614862561225891,0.0,0.0,0.0,0,5.454752445220947,1.8992818593978882,1.8181862831115723,1.5747223609082692,0.15383900701999664,16,2.0794415416798357
legacy,42,1,8,16,256,1.4587631225585938,1.4728212356567383,-0.866860032081604,0.8650277853012085,0.4352831542491913,1.436980962753296,4.955563545227051,2.1641926765441895,1.0671943426132202,4.019521713256836,0,1.0,1.0437906183824452e-07,0.0030127104837447405,22.53698534524233,30876160000.0,8,3.4657359027997265
legacy_fixed_solver,42,1,8,16,256,0.998029887676239,1.013116717338562,-0.7513559460639954,0.7500495910644531,0.5008480548858643,1.5149800777435303,0.9994667768478394,-8.549593925476074,-13.815510749816895,-4.978401184082031,3,1.0,1.0437906183824452e-07,0.0030127104837447405,22.53698534524233,2.5223894119262695,8,3.4657359027997265
shift,42,1,8,16,256,0.6306653022766113,0.6486002206802368,-0.7236525416374207,0.7229304909706116,0.39620164036750793,1.0146137475967407,0.8360295295715332,-6.148575782775879,-13.815510749816895,-0.6548161506652832,3,1.0,1.0437906183824452e-07,0.0030127104837447405,22.53698534524233,29680.22265625,8,3.4657359027997265
am,42,1,8,16,256,0.6069269180297852,0.6269305348396301,-0.7226612567901611,0.7165728807449341,0.40586453676223755,0.4857601225376129,0.29108768701553345,0.8522664904594421,-1.1429702043533325,1.654069185256958,0,0.6869058609008789,0.4996733069419861,4.001307487487793,4.194383609076479,0.407360315322876,8,3.4657359027997265
am_over_m,42,1,8,16,256,0.6482343673706055,0.6938817501068115,-0.7513893246650696,0.750519871711731,0.3899700939655304,0.8449432849884033,0.7507224082946777,0.8522664904594421,-1.1429702043533325,1.654069185256958,0,0.6869058609008789,0.4996733069419861,4.001307487487793,4.194383609076479,0.407360315322876,8,3.4657359027997265
am_logfit,42,1,8,16,256,0.6099398136138916,0.6391355395317078,-0.6924876570701599,0.6868937015533447,0.40109783411026,0.4403219521045685,0.2690922021865845,1.2522945404052734,0.4462816119194031,1.838918924331665,0,0.6869058609008789,0.4996733069419861,4.001307487487793,4.194383609076479,0.11669529974460602,8,3.4657359027997265
am_scalar,42,1,8,16,256,0.6649354100227356,0.6989173293113708,-0.7519707679748535,0.7472494840621948,0.389912873506546,0.45512059330940247,0.2481195479631424,1.33378005027771,1.3337799310684204,1.3337799310684204,0,0.6869058609008789,0.4996733069419861,4.001307487487793,4.194383609076479,0.2511935234069824,8,3.4657359027997265
am_nobeta,42,1,8,16,256,0.6649354696273804,0.6989173889160156,-0.7519707679748535,0.7472494840621948,0.3899129033088684,0.8652524352073669,0.7616960406303406,0.0,0.0,0.0,0,0.6869058609008789,0.4996733069419861,4.001307487487793,4.194383609076479,0.407360315322876,8,3.4657359027997265
legacy,42,1,16,16,256,1.413450837135315,1.4351145029067993,-0.8403427600860596,0.8391451835632324,0.35524097084999084,1.428712248802185,5.5061235427856445,1.7941070795059204,0.9283543229103088,4.019521713256836,0,1.0,1.0437906183824452e-07,0.0018418690888211131,11.518585884673824,32948389888.0,16,2.772588722239781
legacy_fixed_solver,42,1,16,16,256,0.9733487963676453,1.0444056987762451,-0.7372742891311646,0.7314795255661011,0.4316425919532776,1.515109658241272,0.9993261694908142,-8.964984893798828,-13.815510749816895,-4.757757186889648,6,1.0,1.0437906183824452e-07,0.0018418690888211131,11.518585884673824,1.0277981758117676,16,2.772588722239781
shift,42,1,16,16,256,0.6262030601501465,0.6416478753089905,-0.5969170928001404,0.5952807664871216,0.2937464714050293,0.8395694494247437,0.7730554342269897,-7.826258182525635,-13.815510749816895,-0.9314563274383545,8,1.0,1.0437906183824452e-07,0.0018418690888211131,11.518585884673824,22242.640625,16,2.772588722239781
am,42,1,16,16,256,0.5804976224899292,0.6504438519477844,-0.6250424981117249,0.6161558628082275,0.3075895309448242,0.41289061307907104,0.1535942107439041,-0.05105742812156677,-13.815510749816895,1.3238635063171387,1,0.6869058609008789,0.4996733069419861,2.706080913543701,2.1507768629591575,0.06728686392307281,16,2.772588722239781
am_over_m,42,1,16,16,256,0.6501312851905823,0.6817209124565125,-0.6288133263587952,0.6203938722610474,0.28840160369873047,0.6475711464881897,0.6115942001342773,-0.05105742812156677,-13.815510749816895,1.3238635063171387,1,0.6869058609008789,0.4996733069419861,2.706080913543701,2.1507768629591575,0.06728686392307281,16,2.772588722239781
am_logfit,42,1,16,16,256,0.5948813557624817,0.646676242351532,-0.6213454604148865,0.610365092754364,0.29680341482162476,0.4109239876270294,0.1197880282998085,0.8702672719955444,-0.45243895053863525,1.3463432788848877,0,0.6869058609008789,0.4996733069419861,2.706080913543701,2.1507768629591575,0.0098226647824049,16,2.772588722239781
am_scalar,42,1,16,16,256,0.6475778818130493,0.6935701966285706,-0.6175851821899414,0.6175816655158997,0.2855057716369629,0.4515359401702881,0.18678279221057892,0.8879576325416565,0.8879576921463013,0.8879576921463013,0,0.6869058609008789,0.4996733069419861,2.706080913543701,2.1507768629591575,0.07022326439619064,16,2.772588722239781
am_nobeta,42,1,16,16,256,0.647577702999115,0.6935710310935974,-0.6175851821899414,0.6175816655158997,0.2855057716369629,0.6647576093673706,0.6175816655158997,0.0,0.0,0.0,0,0.6869058609008789,0.4996733069419861,2.706080913543701,2.1507768629591575,0.06728686392307281,16,2.772588722239781
legacy,42,1,32,16,256,0.8858764171600342,0.9347127079963684,-0.6697121858596802,0.6581935286521912,0.31749939918518066,1.5125386714935303,0.99884432554245,-8.706849098205566,-13.815510749816895,-4.744957447052002,10,1.0,1.0437906183824452e-07,0.0013871341943740845,8.79891472930443,23.4914493560791,16,2.0794415416798357
legacy_fixed_solver,42,1,32,16,256,1.0151633024215698,0.9938252568244934,-0.6971127390861511,0.6912771463394165,0.3892372250556946,1.514735460281372,0.9993206262588501,-8.672477722167969,-13.815510749816895,-5.213696002960205,9,1.0,1.0437906183824452e-07,0.0013871341943740845,8.79891472930443,0.7513435482978821,16,2.0794415416798357
shift,42,1,32,16,256,0.49059155583381653,0.5048734545707703,-0.3806415796279907,0.3778127133846283,0.2074461132287979,0.7786268591880798,0.7186431884765625,-8.2894926071167,-13.815510749816895,-0.8009402751922607,17,1.0,1.0437906183824452e-07,0.0013871341943740845,8.79891472930443,19423.236328125,16,2.0794415416798357
am,42,1,32,16,256,0.5223515033721924,0.5416198968887329,-0.5060134530067444,0.5002188086509705,0.21105839312076569,0.3732348084449768,0.11988981068134308,0.4810914695262909,-1.1554416418075562,0.9527075290679932,0,0.6869058609008789,0.4996733069419861,1.8203513622283936,1.6799119869473815,0.007932701148092747,16,2.0794415416798357
am_over_m,42,1,32,16,256,0.472555547952652,0.5048902034759521,-0.4695822596549988,0.4683481454849243,0.19828054308891296,0.48895949125289917,0.45437395572662354,0.4810914695262909,-1.1554416418075562,0.9527075290679932,0,0.6869058609008789,0.4996733069419861,1.8203513622283936,1.6799119869473815,0.007932701148092747,16,2.0794415416798357
am_logfit,42,1,32,16,256,0.5089768767356873,0.5318017601966858,-0.5151923298835754,0.5088105201721191,0.20837929844856262,0.3624059557914734,0.10235103964805603,0.5183296203613281,-0.7063484787940979,1.1126747131347656,0,0.6869058609008789,0.4996733069419861,1.8203513622283936,1.6799119869473815,0.0013245303416624665,16,2.0794415416798357
am_scalar,42,1,32,16,256,0.4830407500267029,0.5073334574699402,-0.47849276661872864,0.4674559533596039,0.1982225775718689,0.3424183428287506,0.10794141888618469,0.5711286067962646,0.5711286067962646,0.5711286067962646,0,0.6869058609008789,0.4996733069419861,1.8203513622283936,1.6799119869473815,0.02909362129867077,16,2.0794415416798357
am_nobeta,42,1,32,16,256,0.4830401539802551,0.5073333382606506,-0.4784928560256958,0.46745601296424866,0.1982225626707077,0.5030905604362488,0.46745601296424866,0.0,0.0,0.0,0,0.6869058609008789,0.4996733069419861,1.8203513622283936,1.6799119869473815,0.007932701148092747,16,2.0794415416798357
legacy,42,2,8,16,256,0.6905138492584229,0.7261223793029785,-0.7605863213539124,0.7527952194213867,0.4172326922416687,0.6135201454162598,0.3098069429397583,1.593529462814331,1.1479841470718384,2.031252384185791,0,1.0,6.34539887300889e-08,0.004788202699273825,4.29188816457203,38589888.0,8,3.4657359027997265
legacy_fixed_solver,42,2,8,16,256,1.013655662536621,0.9771385192871094,-0.8245816826820374,0.8242948651313782,0.44760262966156006,1.5065789222717285,0.9992897510528564,-6.804012298583984,-13.815510749816895,-4.46925687789917,1,1.0,6.34539887300889e-08,0.004788202699273825,4.29188816457203,2.316636323928833,8,3.4657359027997265
shift,42,2,8,16,256,0.6420180797576904,0.6989095211029053,-0.7621982097625732,0.7578444480895996,0.41787463426589966,1.0233993530273438,0.8641455173492432,-7.520976543426514,-13.815510749816895,-3.345405340194702,3,1.0,6.34539887300889e-08,0.004788202699273825,4.29188816457203,154.08323669433594,8,3.4657359027997265
am,42,2,8,16,256,0.6517582535743713,0.7099402546882629,-0.7853519320487976,0.7804996371269226,0.42335355281829834,0.5723320841789246,0.3298211693763733,1.3504303693771362,0.8092932105064392,1.9826226234436035,0,3.4024791717529297,0.8614373803138733,5.044669151306152,2.512024914365822,10.99743938446045,8,3.4657359027997265
