spec,family,seed,dest,M,budget,L_s,lam,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,beta_span,n_beta_le_m3,n_beta_at_clamp,at_box_lower,at_box_upper,box_bind_rate,clamp_rate,rank_G_numeric,solver_residual,solver_lambda_eff,x_eff_budget_frac,x_eff_loss,v_fit_resid_rel,beta_ideal_mass_preserving
box_lam1e0,箱+λ,42,0,16,8,128,1.0,0.4225964844226837,0.2185378223657608,0.38477882742881775,0.23526422679424286,0.5719400644302368,0.24083168804645538,0.24373085796833038,0.9529000520706177,0.7091691941022873,0,0,0,0,0.0,0.0,8,5.1674370765686035,0.6194544434547424,0.8372554183006287,0.16274458169937134,0.2933988367114049,2.772588722239781
box_lam3e0,箱+λ,42,0,16,8,128,3.0,0.42303019762039185,0.3077738583087921,0.41267290711402893,0.29095715284347534,0.4178745746612549,0.16830508410930634,0.21298499405384064,0.6438859701156616,0.430900976061821,0,0,0,0,0.0,0.0,8,9.369804382324219,1.8583633303642273,0.8310859203338623,0.1689140796661377,0.29355952085556336,2.772588722239781
box_lam1e1,箱+λ,42,0,16,8,128,10.0,0.4241563677787781,0.4345514178276062,0.44306480884552,0.4158414304256439,0.230768084526062,0.10463323444128036,0.10675155371427536,0.4277724027633667,0.32102084904909134,0,0,0,0,0.0,0.0,8,16.219039916992188,6.194544434547424,0.8464415073394775,0.15355849266052246,0.29356503864777056,2.772588722239781
nobox_lam1em3,无箱互校,42,0,16,8,128,0.001,0.4107230305671692,0.15353849530220032,0.3834264874458313,0.14985628426074982,0.7630264759063721,0.5934649109840393,-0.1994398534297943,1.5509917736053467,1.750431627035141,0,0,0,0,0.0,0.0,8,1.8217414617538452,0.0006194544434547424,0.8693791627883911,0.1306208372116089,0.29631710217273227,2.772588722239781
nobox_lam1em1,无箱互校,42,0,16,8,128,0.1,0.4160785675048828,0.16079320013523102,0.38747158646583557,0.1511542648077011,0.7469897866249084,0.4193122982978821,0.22958268225193024,1.4428826570510864,1.2132999747991562,0,0,0,0,0.0,0.0,8,2.0644407272338867,0.06194544434547425,0.8742998242378235,0.1257001757621765,0.2950529458026397,2.772588722239781
scalar,参照,42,0,16,8,128,0.001,0.4271746277809143,0.17883190512657166,0.39281752705574036,0.19097082316875458,0.9043293595314026,6.372004435206691e-08,0.9043294191360474,0.9043294191360474,0.0,0,0,0,0,0.0,0.0,8,0.06611214578151703,0.0,0.8876761198043823,0.11232388019561768,0.29290542538637787,2.772588722239781
nobeta,参照,42,0,16,8,128,0.001,0.4271746575832367,0.5712894797325134,0.5265634059906006,0.5615068078041077,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,8,1.8217414617538452,0.0006194544434547424,0.8876761198043823,0.11232388019561768,0.29290542538637787,2.772588722239781
box_lam1em3,箱+λ,42,0,16,32,128,0.001,0.3730889856815338,0.08748827129602432,0.3333721458911896,0.005689783021807671,0.04483378678560257,1.0109175443649292,-3.0,1.2280641794204712,4.228064179420471,2,0,2,0,0.0625,0.0,16,0.0024088206700980663,0.0001875167042016983,0.6604297161102295,0.3395702838897705,0.044873679523344305,1.3862943611198906
box_lam3em3,箱+λ,42,0,16,32,128,0.003,0.3680512011051178,0.08807684481143951,0.33205798268318176,0.008464832790195942,0.0743403434753418,0.9655675888061523,-3.0,1.1892592906951904,4.18925929069519,2,0,2,0,0.0625,0.0,16,0.0033352153841406107,0.0005625501126050949,0.6695671677589417,0.33043283224105835,0.04358787497923573,1.3862943611198906
box_lam1em2,箱+λ,42,0,16,32,128,0.01,0.35616767406463623,0.08200397342443466,0.326203852891922,0.017989737913012505,0.17090418934822083,0.7470210194587708,-3.0,1.073665738105774,4.073665738105774,1,0,1,0,0.03125,0.0,16,0.008907817304134369,0.001875167042016983,0.6920716166496277,0.3079283833503723,0.04080207963863241,1.3862943611198906
box_lam3em2,箱+λ,42,0,16,32,128,0.03,0.340734601020813,0.07343557476997375,0.31126224994659424,0.030870437622070312,0.2085505723953247,0.6465821862220764,-3.0,0.8609654903411865,3.8609654903411865,1,0,1,0,0.03125,0.0,16,0.029931286349892616,0.005625501126050949,0.7041233777999878,0.2958766222000122,0.038580987761529906,1.3862943611198906
box_lam1em1,箱+λ,42,0,16,32,128,0.1,0.3302561342716217,0.06270849704742432,0.2938978374004364,0.05521506816148758,0.2369740605354309,0.2960926592350006,-1.1329278945922852,0.5806548595428467,1.7135827541351318,0,0,0,0,0.0,0.0,16,0.08532749116420746,0.01875167042016983,0.6972811222076416,0.3027188777923584,0.03781174879353652,1.3862943611198906
box_lam3em1,箱+λ,42,0,16,32,128,0.3,0.31887713074684143,0.052170999348163605,0.2837667763233185,0.06121843308210373,0.21381813287734985,0.16011886298656464,-0.4454491138458252,0.475766658782959,0.9212157726287842,0,0,0,0,0.0,0.0,16,0.1623140573501587,0.05625501126050949,0.6828511953353882,0.3171488046646118,0.036176903478806255,1.3862943611198906
box_lam1e0,箱+λ,42,0,16,32,128,1.0,0.3205258548259735,0.04134988412261009,0.2787550091743469,0.06311097741127014,0.17451222240924835,0.10452607274055481,-0.11618811637163162,0.4017239212989807,0.5179120376706123,0,0,0,0,0.0,0.0,16,0.2901931405067444,0.1875167042016983,0.6671435236930847,0.3328564763069153,0.03533858703307846,1.3862943611198906
box_lam3e0,箱+λ,42,0,16,32,128,3.0,0.3253776729106903,0.04802219197154045,0.2795056700706482,0.0794428139925003,0.13578003644943237,0.08879832923412323,0.008740263991057873,0.3664202094078064,0.3576799454167485,0,0,0,0,0.0,0.0,16,0.507524847984314,0.5625501126050949,0.6597253084182739,0.3402746915817261,0.034959290009289434,1.3862943611198906
