seed,focus_strength,beta_mode,budget,compression_ratio,n_blocks,fixed_length,M,n_eval_queries,n_queries,lhs_median,lhs_mean,rhs_median,rhs_mean,ratio_median,ratio_p5,ratio_min,ratio_max,frac_rhs_ge_lhs,frac_rhs_ge_lhs_tol,frac_at_equality,n_violating,n_violating_strict,rel_tol,lhs_zero_frac,precondition_violation_frac,precondition_margin_median,share_out_median,share_mass_median
43,8.0,full,8,0.03125,2,128,32,48,48,0.4077393827486146,0.4692227807792406,0.9761777199825922,1.1955005531285716,2.505404330645443,1.4047256383150544,1.1071017357753128,5.843491888606496,1.0,1.0,0.0,0,0,1e-09,0.0,0.08333333333333333,2.3131915816705835,0.40870411461157374,0.5823571379451168
43,8.0,full,16,0.0625,2,128,32,48,48,0.32114042009696586,0.37953645043428624,0.6537614650909751,0.8047778018469568,1.8318962962222751,1.0724606826106082,1.0213531160506932,4.653471133156303,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,4.067477189611526,0.5435096828203634,0.43357426474038746
43,8.0,full,32,0.125,2,128,32,48,48,0.30746973362786456,0.337851396270606,0.5500677863081109,0.5829816156260056,1.6365419525333484,1.1005662320671599,1.0106475317455064,3.028410544893469,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,4.305101946745106,0.6072708085846367,0.3870507043050013
43,8.0,full,64,0.25,2,128,32,48,48,0.26523798867999815,0.2800098133558069,0.41075125222553377,0.4129477351727601,1.4380358955804524,1.042725508893261,1.00261691403691,2.5227894216858675,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,4.412874531521385,0.6881512027336498,0.3080036273692954
43,8.0,full,128,0.5,2,128,32,48,48,0.24637990966275855,0.27354673647475236,0.339138419584078,0.3639749765473304,1.2627568510480176,1.02251174629234,1.0095885480063294,2.13440839288338,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,4.705137798901039,0.7789444657224817,0.2072283740706988
43,8.0,full,256,1.0,2,128,32,48,48,0.24572850612870079,0.27542526123742267,0.3347790732114843,0.3615643941193089,1.2803682214892043,1.0335696490871047,1.0279603385797937,1.9993790784566798,1.0,1.0,0.0,0,0,1e-09,0.0,0.0,4.78195334298896,0.7729906153033709,0.2201634273487534
44,0.0,none,8,0.03125,2,128,32,48,48,0.5278889116753719,0.5264830837823807,1.2023990068504355,1.2256353725099938,2.328069093295987,2.04862615972462,1.8766765405485946,2.762461199895832,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-5.294069409611275,0.23410056868981052,0.765028407068227
44,0.0,none,16,0.0625,2,128,32,48,48,0.4833601963167078,0.48667392494893863,1.1736543474957786,1.1946844154225016,2.428298916081089,2.184363638444776,2.0133999558131546,2.9272321411340076,1.0,1.0,0.0,0,0,1e-09,0.0,1.0,-4.437101947799059,0.24203794057454325,0.754532259488695
44,0.0,none,32,0.125,2,128,32,48,48,0.42734082283028774,0.4321440336263966,1.214953048542097,1.253707989556231,2.964481214547282,2.4369584741279784,2.132599763650512,3.9812938853294333,1.0,1.0,0.0,0,0,1e-09,0.0,0.9791666666666666,-2.859964872823088,0.33308433842818175,0.6660512656939995
44,0.0,none,64,0.25,2,128,32,48,48,0.3452721979128118,0.3529391428129845,0.9439988947093236,0.9774070930488689,2.764913082651641,2.4234238293690242,2.1085826825037377,3.3235889539726617,1.0,1.0,0.0,0,0,1e-09,0.0,0.375,0.3783858095379351,0.27680717651021175,0.7205865612888066
