seed,focus_strength,beta_mode,n_blocks,chunk_len,per_chunk_budget,L_total,M,lhs_median,lhs_mean,sum_abs_dM_over_S_median,net_abs_dM_over_S_median,cancellation_ratio_median,S_median
45,0.0,full,2,64,16,128,32,0.23164240389442461,0.26508146356514484,0.10635756884298682,0.09154631635542022,1.0,23.154622485725092
45,0.0,full,4,64,16,256,32,0.2684395290444094,0.2791726876882407,0.1636801985015765,0.1061169663321971,0.7764200245917973,32.03513483666453
45,0.0,full,8,64,16,512,32,0.21673764036190832,0.23264245457323632,0.2013222623280112,0.1492889018833818,0.8352909219659648,48.51226748284357
45,8.0,none,1,64,16,64,32,0.35678398218247465,0.3662130141392468,0.18543764983419708,0.18543764983419708,1.0,9.55480549037617
45,8.0,none,2,64,16,128,32,0.27015381242105174,0.27029929222746424,0.17833035535681926,0.17833035535681926,1.0,9.968981903346544
45,8.0,none,4,64,16,256,32,0.19815948304736172,0.21385868759650695,0.1770256324214386,0.1770256324214386,1.0,11.073165995688608
45,8.0,none,8,64,16,512,32,0.2148060389486277,0.22498624567263414,0.23295136695604984,0.23295136695604984,1.0,11.657510656130247
45,8.0,full,1,64,16,64,32,0.22903209661258825,0.23356495773328476,0.03953809173690011,0.03953809173690011,1.0,9.55480549037617
45,8.0,full,2,64,16,128,32,0.1923836877131232,0.2002296857825545,0.05904748352447161,0.04012624937975825,1.0,9.968981903346544
45,8.0,full,4,64,16,256,32,0.1582020305416684,0.16756688182653343,0.052839817484515314,0.04064047369691323,0.8262896779556075,11.073165995688608
45,8.0,full,8,64,16,512,32,0.13749401536437286,0.15177228527078865,0.08050085391339112,0.0506685430309459,0.6152672279433636,11.657510656130247
46,0.0,none,1,64,16,64,32,0.40378165370001107,0.4270680490344094,0.2533831556594861,0.2533831556594861,1.0,19.756465470030747
46,0.0,none,2,64,16,128,32,0.35527378402947263,0.40318317839124024,0.35169881194492464,0.35169881194492464,1.0,27.892564038750876
46,0.0,none,4,64,16,256,32,0.38411676778246157,0.39160436234759516,0.47677911796753,0.47677911796753,1.0,36.19631491503703
46,0.0,none,8,64,16,512,32,0.35518632808135997,0.3740716728265305,0.5862838079118955,0.5862838079118955,1.0,44.69793845226417
46,0.0,full,1,64,16,64,32,0.2542182886591691,0.2658039416435375,0.11395275661488619,0.11395275661488619,1.0,19.756465470030747
46,0.0,full,2,64,16,128,32,0.237550191055804,0.2700153897328873,0.1505836414799254,0.13037359908599272,1.0,27.892564038750876
46,0.0,full,4,64,16,256,32,0.24096532619619035,0.2529753321488744,0.1781172260010415,0.13897053129652145,0.9064615283203162,36.19631491503703
46,0.0,full,8,64,16,512,32,0.21938023669584694,0.23837842009015842,0.2142160274004438,0.18026656264833402,0.8942118841851178,44.69793845226417
46,8.0,none,1,64,16,64,32,0.3155572494305695,0.3456179455699231,0.15401994324440144,0.15401994324440144,1.0,8.13483749110544
46,8.0,none,2,64,16,128,32,0.3045419042498513,0.31717289785990727,0.21073720040873584,0.21073720040873584,1.0,11.06486329217632
46,8.0,none,4,64,16,256,32,0.2338979104785732,0.2447738709547718,0.20289652358442972,0.20289652358442972,1.0,13.607689624083598
46,8.0,none,8,64,16,512,32,0.1536681781503259,0.1679421724410309,0.2004844615638398,0.2004844615638398,1.0,12.516663870559626
46,8.0,full,1,64,16,64,32,0.2161561203712387,0.2558778352697873,0.029394738538447863,0.029394738538447863,1.0,8.13483749110544
46,8.0,full,2,64,16,128,32,0.21839862712151642,0.24632233351092322,0.06724873164350118,0.03132244050277894,0.8889936331702311,11.06486329217632
46,8.0,full,4,64,16,256,32,0.1560441549031617,0.1707922110455553,0.0677522602570243,0.04213086106647678,0.6316652223215814,13.607689624083598
46,8.0,full,8,64,16,512,32,0.12148918956543654,0.1321179314781441,0.06166227459432424,0.0435334984125877,0.7668034102825997,12.516663870559626
