protocol,n_fit_queries,n_eval_queries,beta_mode,focus_strength,budget,dest,dcc_mean_rel_err,shared_mean_rel_err,delta_shared_minus_dcc
in-sample,48,48,over_m,0.0,16,0,0.9350609183311462,1.1136149168014526,0.1785539984703064
in-sample,48,48,over_m,0.0,16,1,0.8990664482116699,0.9932641983032227,0.09419775009155273
in-sample,48,48,over_m,0.0,16,2,0.829650342464447,0.9969714283943176,0.1673210859298706
in-sample,48,48,over_m,0.0,16,3,0.7904401421546936,0.894253671169281,0.1038135290145874
in-sample,48,48,over_m,0.0,32,0,0.7527835369110107,1.3158832788467407,0.56309974193573
in-sample,48,48,over_m,0.0,32,1,0.8855549693107605,1.347842812538147,0.4622878432273865
in-sample,48,48,over_m,0.0,32,2,0.8708133697509766,1.4206587076187134,0.5498453378677368
in-sample,48,48,over_m,0.0,32,3,0.8205491900444031,1.2591397762298584,0.4385905861854553
in-sample,48,48,over_m,0.0,64,0,0.5725054144859314,0.821131706237793,0.24862629175186157
in-sample,48,48,over_m,0.0,64,1,0.6348887085914612,0.8110998272895813,0.17621111869812012
in-sample,48,48,over_m,0.0,64,2,0.5833589434623718,0.827336311340332,0.2439773678779602
in-sample,48,48,over_m,0.0,64,3,0.692078173160553,0.8417895436286926,0.14971137046813965
in-sample,48,48,over_m,0.0,128,0,0.36836424469947815,0.5895578861236572,0.22119364142417908
in-sample,48,48,over_m,0.0,128,1,0.3904514014720917,0.5871149897575378,0.19666358828544617
in-sample,48,48,over_m,0.0,128,2,0.36821576952934265,0.6146526336669922,0.24643686413764954
in-sample,48,48,over_m,0.0,128,3,0.43777891993522644,0.5890986323356628,0.1513197124004364
in-sample,48,48,over_m,2.0,16,0,0.7975108623504639,1.2590348720550537,0.46152400970458984
in-sample,48,48,over_m,2.0,16,1,0.6892674565315247,0.9735397696495056,0.28427231311798096
in-sample,48,48,over_m,2.0,16,2,0.9948270320892334,1.1625996828079224,0.16777265071868896
in-sample,48,48,over_m,2.0,16,3,0.9054006934165955,1.3634542226791382,0.4580535292625427
in-sample,48,48,over_m,2.0,32,0,1.3377436399459839,0.9490086436271667,-0.38873499631881714
in-sample,48,48,over_m,2.0,32,1,0.708419144153595,1.078403353691101,0.3699842095375061
in-sample,48,48,over_m,2.0,32,2,0.8617555499076843,1.142669916152954,0.2809143662452698
in-sample,48,48,over_m,2.0,32,3,0.796879768371582,1.2131510972976685,0.4162713289260864
in-sample,48,48,over_m,2.0,64,0,0.7296059727668762,0.7962685227394104,0.06666254997253418
in-sample,48,48,over_m,2.0,64,1,0.5444952249526978,0.8476400971412659,0.3031448721885681
in-sample,48,48,over_m,2.0,64,2,0.7040995955467224,0.9231007695198059,0.2190011739730835
in-sample,48,48,over_m,2.0,64,3,0.6210657954216003,0.883101761341095,0.26203596591949463
in-sample,48,48,over_m,2.0,128,0,0.3877018392086029,0.5566954016685486,0.16899356245994568
in-sample,48,48,over_m,2.0,128,1,0.35099315643310547,0.5770254135131836,0.22603225708007812
in-sample,48,48,over_m,2.0,128,2,0.392920583486557,0.6430891156196594,0.2501685321331024
in-sample,48,48,over_m,2.0,128,3,0.3373902142047882,0.5939155220985413,0.25652530789375305
in-sample,48,48,over_m,4.0,16,0,0.8985834717750549,1.2420302629470825,0.3434467911720276
in-sample,48,48,over_m,4.0,16,1,0.7056496143341064,1.3654953241348267,0.6598457098007202
in-sample,48,48,over_m,4.0,16,2,1.0754040479660034,1.14306640625,0.06766235828399658
in-sample,48,48,over_m,4.0,16,3,1.137315034866333,1.4805326461791992,0.3432176113128662
in-sample,48,48,over_m,4.0,32,0,0.7701191902160645,1.2793588638305664,0.509239673614502
in-sample,48,48,over_m,4.0,32,1,0.9503456950187683,1.0716814994812012,0.12133580446243286
in-sample,48,48,over_m,4.0,32,2,0.7941516041755676,0.8518819212913513,0.05773031711578369
in-sample,48,48,over_m,4.0,32,3,0.7047118544578552,1.2269513607025146,0.5222395062446594
in-sample,48,48,over_m,4.0,64,0,0.5545015335083008,0.6905927062034607,0.1360911726951599
in-sample,48,48,over_m,4.0,64,1,0.5660595297813416,0.7441099286079407,0.17805039882659912
in-sample,48,48,over_m,4.0,64,2,0.7277073264122009,0.7163031697273254,-0.011404156684875488
in-sample,48,48,over_m,4.0,64,3,0.4361158609390259,0.7791802883148193,0.34306442737579346
in-sample,48,48,over_m,4.0,128,0,0.3533930778503418,0.6096880435943604,0.25629496574401855
in-sample,48,48,over_m,4.0,128,1,0.3125784695148468,0.6001126170158386,0.2875341475009918
in-sample,48,48,over_m,4.0,128,2,0.36633622646331787,0.6502844095230103,0.2839481830596924
in-sample,48,48,over_m,4.0,128,3,0.29892274737358093,0.5959053635597229,0.29698261618614197
in-sample,48,48,over_m,8.0,16,0,1.1136993169784546,0.6989364624023438,-0.41476285457611084
in-sample,48,48,over_m,8.0,16,1,0.5335450768470764,1.4046069383621216,0.8710618615150452
in-sample,48,48,over_m,8.0,16,2,0.42962077260017395,1.238200306892395,0.8085795342922211
in-sample,48,48,over_m,8.0,16,3,0.6795516014099121,0.8049192428588867,0.1253676414489746
in-sample,48,48,over_m,8.0,32,0,0.6003400683403015,1.0709205865859985,0.470580518245697
in-sample,48,48,over_m,8.0,32,1,0.33584246039390564,0.9378023147583008,0.6019598543643951
in-sample,48,48,over_m,8.0,32,2,0.40448272228240967,1.029664397239685,0.6251816749572754
in-sample,48,48,over_m,8.0,32,3,0.6083943247795105,1.138311505317688,0.5299171805381775
in-sample,48,48,over_m,8.0,64,0,0.3488541841506958,0.5770496129989624,0.2281954288482666
in-sample,48,48,over_m,8.0,64,1,0.35237041115760803,0.5259037017822266,0.17353329062461853
in-sample,48,48,over_m,8.0,64,2,0.2378675788640976,0.7798928618431091,0.5420252829790115
in-sample,48,48,over_m,8.0,64,3,0.3544297218322754,0.5714308619499207,0.21700114011764526
in-sample,48,48,over_m,8.0,128,0,0.21735072135925293,0.47493353486061096,0.25758281350135803
in-sample,48,48,over_m,8.0,128,1,0.17847757041454315,0.4190617501735687,0.24058417975902557
in-sample,48,48,over_m,8.0,128,2,0.15263427793979645,0.5300409197807312,0.37740664184093475
in-sample,48,48,over_m,8.0,128,3,0.23873233795166016,0.48277655243873596,0.2440442144870758
in-sample,48,48,over_m,16.0,16,0,0.06866452097892761,0.2899174094200134,0.22125288844108582
in-sample,48,48,over_m,16.0,16,1,0.1308552473783493,0.3466975688934326,0.2158423215150833
in-sample,48,48,over_m,16.0,16,2,0.04217856749892235,0.3894161283969879,0.34723756089806557
in-sample,48,48,over_m,16.0,16,3,0.1269569993019104,0.543957531452179,0.41700053215026855
in-sample,48,48,over_m,16.0,32,0,0.05019719898700714,0.16667293012142181,0.11647573113441467
in-sample,48,48,over_m,16.0,32,1,0.0667036697268486,0.3062104284763336,0.23950675874948502
in-sample,48,48,over_m,16.0,32,2,0.02791179157793522,0.2696400582790375,0.24172826670110226
in-sample,48,48,over_m,16.0,32,3,0.07093627005815506,0.3794609606266022,0.3085246905684471
in-sample,48,48,over_m,16.0,64,0,0.05240114405751228,0.12649595737457275,0.07409481331706047
in-sample,48,48,over_m,16.0,64,1,0.05516546592116356,0.22180376946926117,0.1666383035480976
in-sample,48,48,over_m,16.0,64,2,0.03723600134253502,0.23988306522369385,0.20264706388115883
in-sample,48,48,over_m,16.0,64,3,0.057187676429748535,0.25548475980758667,0.19829708337783813
in-sample,48,48,over_m,16.0,128,0,0.07280297577381134,0.11473508924245834,0.041932113468647
in-sample,48,48,over_m,16.0,128,1,0.0824798122048378,0.21603761613368988,0.13355780392885208
in-sample,48,48,over_m,16.0,128,2,0.05895295366644859,0.2349414974451065,0.1759885437786579
in-sample,48,48,over_m,16.0,128,3,0.071745865046978,0.2561991512775421,0.18445328623056412
in-sample,48,48,none,0.0,16,0,0.9782766699790955,1.1284160614013672,0.15013939142227173
in-sample,48,48,none,0.0,16,1,0.9369053244590759,1.0057519674301147,0.06884664297103882
in-sample,48,48,none,0.0,16,2,0.8421228528022766,1.0070549249649048,0.16493207216262817
in-sample,48,48,none,0.0,16,3,0.7971627712249756,0.901897668838501,0.10473489761352539
in-sample,48,48,none,0.0,32,0,0.764491856098175,1.3377271890640259,0.5732353329658508
in-sample,48,48,none,0.0,32,1,0.9042820930480957,1.363703727722168,0.45942163467407227
in-sample,48,48,none,0.0,32,2,0.8812466263771057,1.4402326345443726,0.5589860081672668
in-sample,48,48,none,0.0,32,3,0.8344218730926514,1.274940013885498,0.4405181407928467
in-sample,48,48,none,0.0,64,0,0.5833444595336914,0.8296985030174255,0.24635404348373413
in-sample,48,48,none,0.0,64,1,0.6473139524459839,0.8193435668945312,0.17202961444854736
in-sample,48,48,none,0.0,64,2,0.5925807356834412,0.8351500034332275,0.24256926774978638
in-sample,48,48,none,0.0,64,3,0.7077684998512268,0.8509149551391602,0.14314645528793335
in-sample,48,48,none,0.0,128,0,0.3734665811061859,0.592743456363678,0.21927687525749207
in-sample,48,48,none,0.0,128,1,0.39661523699760437,0.5898131728172302,0.19319793581962585
in-sample,48,48,none,0.0,128,2,0.37260544300079346,0.6173658967018127,0.2447604537010193
in-sample,48,48,none,0.0,128,3,0.4446451961994171,0.5918115973472595,0.1471664011478424
in-sample,48,48,none,2.0,16,0,0.8239729404449463,1.2997773885726929,0.4758044481277466
in-sample,48,48,none,2.0,16,1,0.7040993571281433,0.9983988404273987,0.29429948329925537
in-sample,48,48,none,2.0,16,2,1.0274866819381714,1.1848722696304321,0.15738558769226074
in-sample,48,48,none,2.0,16,3,0.9303908348083496,1.4146547317504883,0.48426389694213867
in-sample,48,48,none,2.0,32,0,1.3716691732406616,0.9546740651130676,-0.416995108127594
in-sample,48,48,none,2.0,32,1,0.722355306148529,1.0860037803649902,0.3636484742164612
in-sample,48,48,none,2.0,32,2,0.8772072792053223,1.1459530591964722,0.2687457799911499
in-sample,48,48,none,2.0,32,3,0.8113577365875244,1.224448323249817,0.4130905866622925
in-sample,48,48,none,2.0,64,0,0.7382599711418152,0.800446093082428,0.06218612194061279
in-sample,48,48,none,2.0,64,1,0.555406928062439,0.8544807434082031,0.29907381534576416
in-sample,48,48,none,2.0,64,2,0.713132381439209,0.9270074963569641,0.21387511491775513
in-sample,48,48,none,2.0,64,3,0.6337775588035583,0.8854176998138428,0.2516401410102844
in-sample,48,48,none,2.0,128,0,0.3938944339752197,0.5588597655296326,0.16496533155441284
in-sample,48,48,none,2.0,128,1,0.35621824860572815,0.5792304873466492,0.22301223874092102
in-sample,48,48,none,2.0,128,2,0.3991428315639496,0.6451103091239929,0.24596747756004333
in-sample,48,48,none,2.0,128,3,0.3417060375213623,0.5955076813697815,0.2538016438484192
in-sample,48,48,none,4.0,16,0,0.9302317500114441,1.2732908725738525,0.34305912256240845
in-sample,48,48,none,4.0,16,1,0.722231388092041,1.3995647430419922,0.6773333549499512
in-sample,48,48,none,4.0,16,2,1.1261957883834839,1.1882212162017822,0.06202542781829834
in-sample,48,48,none,4.0,16,3,1.1808298826217651,1.5363847017288208,0.35555481910705566
in-sample,48,48,none,4.0,32,0,0.7821231484413147,1.3031779527664185,0.5210548043251038
in-sample,48,48,none,4.0,32,1,0.9705856442451477,1.0955138206481934,0.12492817640304565
in-sample,48,48,none,4.0,32,2,0.8120095729827881,0.8596541285514832,0.04764455556869507
in-sample,48,48,none,4.0,32,3,0.7159090042114258,1.2539440393447876,0.5380350351333618
in-sample,48,48,none,4.0,64,0,0.5636823773384094,0.6929316520690918,0.12924927473068237
in-sample,48,48,none,4.0,64,1,0.5787239074707031,0.7493293881416321,0.17060548067092896
in-sample,48,48,none,4.0,64,2,0.741723358631134,0.7199205756187439,-0.021802783012390137
in-sample,48,48,none,4.0,64,3,0.4430965483188629,0.7881238460540771,0.34502729773521423
