seed,focus_strength,budget,nominal_compression_ratio,projection_dim,reference_projection_dim,M,n_fit_queries,n_eval_queries,selection_jaccard_vs_noprojection,selection_jaccard_vs_max_dp,jl_distortion_mean,jl_distortion_p95,nearest_repr_dist_median,nearest_eval_dist_median,coverage_ratio,coverage_frac_within_radius,eps_mass_abscommon_median,eps_mass_abscommon_mean,eps_out_rel_median,eps_out_rel_mean
43,0.0,16,0.0625,32,64,32,48,48,0.5238095238095238,0.5609756097560976,0.10301950784609118,0.24851900855438824,6.013653700376038,5.885395656768864,1.0217925949394142,0.3541666666666667,0.39711361394730943,0.3736496615801439,0.7092308285134344,0.7156274335745936
43,0.0,16,0.0625,64,64,32,48,48,0.5238095238095238,1.0,0.07035856632988331,0.16234772280391874,5.9354126032649495,5.885395656768864,1.0084984849638021,0.4583333333333333,0.34833172143301483,0.3494246580786015,0.7189175714541582,0.7158813129900564
43,0.0,16,0.0625,,64,32,48,48,1.0,,0.0,0.0,5.929589273827803,5.885395656768864,1.007509030766199,0.4375,,,,
43,0.0,32,0.125,4,64,32,48,48,0.4883720930232558,0.5238095238095238,0.2779797333365626,0.6502844902377423,5.929589273827803,5.885395656768864,1.007509030766199,0.375,0.22089916113439628,0.24677021700904536,0.7202940853799017,0.7670968092131732
43,0.0,32,0.125,8,64,32,48,48,0.4883720930232558,0.5609756097560976,0.1861752519345507,0.450140524760544,6.107746270352059,5.885395656768864,1.0377800621316646,0.2916666666666667,0.2361317056594301,0.27186147769008445,0.7268670119713241,0.7330212605997386
43,0.0,32,0.125,16,64,32,48,48,0.5238095238095238,0.6,0.13344839395092456,0.32058210942820875,5.98654515518135,5.885395656768864,1.0171865247997618,0.4166666666666667,0.27476419335940316,0.2979910844558666,0.7404737193217346,0.7751969826112409
43,0.0,32,0.125,32,64,32,48,48,0.5238095238095238,0.5609756097560976,0.10301950784609118,0.24851900855438824,6.013653700376038,5.885395656768864,1.0217925949394142,0.3541666666666667,0.19007651242750911,0.2279630712577033,0.7286005299918806,0.7633506933918515
43,0.0,32,0.125,64,64,32,48,48,0.5238095238095238,1.0,0.07035856632988331,0.16234772280391874,5.9354126032649495,5.885395656768864,1.0084984849638021,0.4583333333333333,0.24056848904548644,0.24570906869742082,0.7217698211968547,0.7625080365753645
43,0.0,32,0.125,,64,32,48,48,1.0,,0.0,0.0,5.929589273827803,5.885395656768864,1.007509030766199,0.4375,,,,
43,0.0,64,0.25,4,64,32,48,48,0.4883720930232558,0.5238095238095238,0.2779797333365626,0.6502844902377423,5.929589273827803,5.885395656768864,1.007509030766199,0.375,0.1633559106194059,0.17639507905322818,0.6826988420361202,0.7149771903478402
43,0.0,64,0.25,8,64,32,48,48,0.4883720930232558,0.5609756097560976,0.1861752519345507,0.450140524760544,6.107746270352059,5.885395656768864,1.0377800621316646,0.2916666666666667,0.16082602675905097,0.17862266433697424,0.7149220622088464,0.7333771040573973
