spec,family,seed,dest,M,budget,L_s,eval_out_err_median,eval_abs_mass_median,eval_mixture_median,fit_abs_mass_median,beta_mean,beta_std,beta_min,beta_max,n_beta_le_m3,n_beta_le_m7,n_beta_at_clamp,frac_beta_le_m3,clamp_rate,support_size,rank_G_numeric,rank_upper_bound,cond_G,solver_residual,x_eff_budget,x_eff_budget_frac,x_eff_loss,x_col_mean_ratio,v_fit_resid_rel,beta_ideal_mass_preserving
box77,约束族,42,0,16,8,256,0.5753929018974304,0.2293921560049057,0.5397175550460815,0.24672554433345795,-0.03092944622039795,3.023634195327759,-7.0,2.1237831115722656,1,1,0,0.125,0.0,7,8,8,13.41409498959837,22.91338539123535,5.6844353675842285,0.7105544209480286,0.28944557905197144,7.746365497760113e-05,0.46212775566190645,3.4657359027997265
box33_lam1em2,约束族,42,0,16,8,256,0.5769221186637878,0.216628298163414,0.5410329699516296,0.2504308521747589,0.5250645875930786,1.7031115293502808,-3.0,2.1134462356567383,1,0,0,0.125,0.0,7,8,8,13.41409498959837,23.00430679321289,5.802251815795898,0.7252814769744873,0.2747185230255127,0.004268750201421391,0.45356836415319846,3.4657359027997265
noridge,正则族,42,0,16,8,256,0.5766398310661316,0.23068146407604218,0.5411850214004517,0.24622295796871185,-0.8915689587593079,5.342095375061035,-13.815510749816895,2.124753952026367,1,1,1,0.125,0.125,7,8,8,13.41409498959837,22.911867141723633,5.673907279968262,0.7092384099960327,0.2907615900039673,8.487355320348418e-08,0.46329210154022477,3.4657359027997265
lam1em4,正则族,42,0,16,8,256,0.5766763687133789,0.23055562376976013,0.5410372614860535,0.24627426266670227,-0.8906755447387695,5.341915607452393,-13.815510749816895,2.1246607303619385,1,1,1,0.125,0.125,7,8,8,13.41409498959837,22.911867141723633,5.6748247146606445,0.7093530893325806,0.29064691066741943,8.488085349310411e-08,0.46317463661273833,3.4657359027997265
lam1em2,正则族,42,0,16,8,256,0.5757387280464172,0.21862655878067017,0.5405070781707764,0.25044354796409607,-0.8302772045135498,5.331831455230713,-13.815510749816895,2.1153135299682617,1,1,1,0.125,0.125,7,8,8,13.41409498959837,22.93785858154297,5.750549793243408,0.718818724155426,0.281181275844574,8.560198701212899e-08,0.4550697117878113,3.4657359027997265
lam1em1,正则族,42,0,16,8,256,0.5797703266143799,0.2345922440290451,0.5519387125968933,0.25379177927970886,0.8812942504882812,0.8938113451004028,-0.8618300557136536,2.01605486869812,0,0,0,0.0,0.0,8,8,8,13.41409498959837,24.604873657226562,6.266218662261963,0.7832773327827454,0.21672266721725464,0.03929074782628129,0.41197712124579433,3.4657359027997265
scalar,对照,42,0,16,8,256,0.6097399592399597,0.41218116879463196,0.5713618993759155,0.26023557782173157,1.3753397464752197,1.2744008870413381e-07,1.3753398656845093,1.3753398656845093,0,0,0,0.0,0.0,8,8,8,13.41409498959837,0.14703166484832764,7.619288921356201,0.9524111151695251,0.047588884830474854,0.4156261474374735,0.38991174582230564,3.4657359027997265
nobeta,对照,42,0,16,8,256,0.6097398996353149,0.6631280183792114,0.6974166035652161,0.7361027598381042,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,7,8,8,13.41409498959837,22.91216278076172,7.619288921356201,0.9524111151695251,0.047588884830474854,0.41562624111498886,0.38991174582230564,3.4657359027997265
unbound,基准,42,0,16,16,256,0.5122411847114563,0.19863970577716827,0.47409576177597046,0.1282035857439041,-2.652107000350952,6.682787895202637,-13.815510749816895,2.065032958984375,4,4,4,0.25,0.25,12,16,16,75.02638270600022,1.273069977760315,10.75667953491211,0.6722924709320068,0.32770752906799316,1.0045107495803808e-07,0.2443463059715864,2.772588722239781
box33,约束族,42,0,16,16,256,0.5120617747306824,0.1986263245344162,0.4726904630661011,0.1276775747537613,0.05214740335941315,1.910278558731079,-3.0,2.048435688018799,4,0,0,0.25,0.0,12,16,16,75.02638270600022,1.3134934902191162,11.036660194396973,0.6897912621498108,0.3102087378501892,0.005080126901334542,0.24235821595316992,2.772588722239781
box77,约束族,42,0,16,16,256,0.5122489929199219,0.19867059588432312,0.4740820825099945,0.12819363176822662,-0.9482196569442749,3.656691551208496,-7.0,2.0647318363189697,4,4,0,0.25,0.0,12,16,16,75.02638270600022,1.2737956047058105,10.765040397644043,0.6728150248527527,0.3271849751472473,9.162555631685352e-05,0.2443298577783056,2.772588722239781
box33_lam1em2,约束族,42,0,16,16,256,0.5148111581802368,0.18521808087825775,0.47467902302742004,0.125675231218338,0.06878499686717987,1.8985826969146729,-3.0,2.0024304389953613,4,0,0,0.25,0.0,12,16,16,75.02638270600022,1.3610918521881104,11.209914207458496,0.700619637966156,0.299380362033844,0.005281600118531175,0.23663471020635887,2.772588722239781
noridge,正则族,42,0,16,16,256,0.5097222328186035,0.2032465636730194,0.47632282972335815,0.12831243872642517,-2.6556949615478516,6.6818718910217285,-13.815510749816895,2.070857286453247,4,4,4,0.25,0.25,12,16,16,75.02638270600022,1.2724136114120483,10.728436470031738,0.6705272793769836,0.32947272062301636,9.995586285907919e-08,0.24548829161734093,2.772588722239781
lam1em4,正则族,42,0,16,16,256,0.5099966526031494,0.20304490625858307,0.47606608271598816,0.12830282747745514,-2.655313014984131,6.681969165802002,-13.815510749816895,2.070267915725708,4,4,4,0.25,0.25,12,16,16,75.02638270600022,1.2724283933639526,10.731366157531738,0.6707103848457336,0.32928961515426636,1.0000589177858923e-07,0.24536885601009353,2.772588722239781
lam1em2,正则族,42,0,16,16,256,0.515243649482727,0.18726153671741486,0.47358450293540955,0.12646415829658508,-2.6332993507385254,6.687309741973877,-13.815510749816895,2.0179660320281982,4,4,4,0.25,0.25,12,16,16,75.02638270600022,1.321526288986206,10.937715530395508,0.6836072206497192,0.31639277935028076,1.0453425025281707e-07,0.23789276423488728,2.772588722239781
lam1em1,正则族,42,0,16,16,256,0.5300379395484924,0.1463702917098999,0.5006754398345947,0.11985365301370621,0.6009075045585632,1.033855676651001,-2.857776403427124,1.4117804765701294,0,0,0,0.0,0.0,16,16,16,75.02638270600022,3.3591468334198,13.22815990447998,0.8267599940299988,0.17324000597000122,0.0100194867720606,0.16671451125399664,2.772588722239781
scalar,对照,42,0,16,16,256,0.5215556025505066,0.2500455677509308,0.4667108356952667,0.17802433669567108,0.919041097164154,6.155941179031288e-08,0.9190410375595093,0.9190410375595093,0,0,0,0.0,0.0,16,16,16,75.02638270600022,0.04021184518933296,14.740857124328613,0.9213035702705383,0.07869642972946167,0.24385246997149276,0.08100220796820373,2.772588722239781
nobeta,对照,42,0,16,16,256,0.521554708480835,0.5082812309265137,0.5419124960899353,0.5593104362487793,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,12,16,16,75.02638270600022,1.273069977760315,14.740857124328613,0.9213035702705383,0.07869642972946167,0.24385246997149276,0.08100240969132888,2.772588722239781
unbound,基准,42,0,16,32,256,0.47597742080688477,0.1826290637254715,0.42573145031929016,0.09944833070039749,-1.6334396600723267,4.905226707458496,-13.815510749816895,1.6892635822296143,6,4,4,0.1875,0.125,28,16,16,29.93478947819157,0.0037056682631373405,19.287553787231445,0.6027360558509827,0.39726394414901733,7.49741435471714e-08,0.06624084673559362,2.0794415416798357
box33,约束族,42,0,16,32,256,0.4772225320339203,0.180147185921669,0.42628413438796997,0.10118286311626434,-0.17825812101364136,1.56696355342865,-3.0,1.695987343788147,4,0,0,0.125,0.0,28,16,16,29.93478947819157,0.003812201553955674,19.60127830505371,0.6125399470329285,0.38746005296707153,0.0031377325633663963,0.06711767509193103,2.0794415416798357
box77,约束族,42,0,16,32,256,0.47600093483924866,0.18258482217788696,0.4257422685623169,0.09947860240936279,-0.7749292850494385,2.7962682247161865,-7.0,1.689383625984192,6,4,0,0.1875,0.0,28,16,16,29.93478947819157,0.0037078778259456158,19.297016143798828,0.6030317544937134,0.3969682455062866,6.837765838015439e-05,0.0662577837195238,2.0794415416798357
box33_lam1em2,约束族,42,0,16,32,256,0.48074284195899963,0.17939554154872894,0.42406103014945984,0.08484898507595062,-0.005135834217071533,1.3708865642547607,-3.0,1.6180912256240845,2,0,0,0.0625,0.0,30,16,16,29.93478947819157,0.032038651406764984,20.651159286499023,0.6453487277030945,0.3546512722969055,0.004459140156754264,0.05897246771062952,2.0794415416798357
noridge,正则族,42,0,16,32,256,0.47500622272491455,0.18441344797611237,0.42624756693840027,0.09993042051792145,-1.552876591682434,4.6104559898376465,-13.815510749816895,1.6991522312164307,6,4,3,0.1875,0.09375,29,16,16,29.93478947819157,0.0025270474143326283,19.063201904296875,0.5957250595092773,0.40427494049072266,7.46626692551374e-08,0.06738855821466949,2.0794415416798357
lam1em4,正则族,42,0,16,32,256,0.47511929273605347,0.18423502147197723,0.4261934459209442,0.09987455606460571,-1.6926668882369995,4.9225850105285645,-13.815510749816895,1.6981263160705566,6,4,4,0.1875,0.125,28,16,16,29.93478947819157,0.002623082371428609,19.087186813354492,0.5964745879173279,0.4035254120826721,7.469644950312998e-08,0.06727590360785954,2.0794415416798357
lam1em2,正则族,42,0,16,32,256,0.4804905354976654,0.18054930865764618,0.42376673221588135,0.08365512639284134,-0.39658427238464355,2.8183116912841797,-13.815510749816895,1.6142245531082153,3,1,1,0.09375,0.03125,31,16,16,29.93478947819157,0.03164311498403549,20.489038467407227,0.6402824521064758,0.35971754789352417,1.5280220871281177e-07,0.05867420067365307,2.0794415416798357
lam1em1,正则族,42,0,16,32,256,0.452620267868042,0.14220105111598969,0.41963329911231995,0.11494109779596329,-0.07107014954090118,2.5863895416259766,-13.815510749816895,1.2659496068954468,1,1,1,0.03125,0.03125,31,16,16,29.93478947819157,0.7248359322547913,22.21489143371582,0.6942153573036194,0.3057846426963806,2.2294621298420558e-07,0.05011326908647044,2.0794415416798357
scalar,对照,42,0,16,32,256,0.42247864603996277,0.15174178779125214,0.37420132756233215,0.1229158490896225,0.5898874402046204,0.0,0.5898874402046204,0.5898874402046204,0,0,0,0.0,0.0,32,16,16,29.93478947819157,0.023837339133024216,27.00078773498535,0.8437746167182922,0.15622538328170776,0.09811301026538108,0.037173750862123926,2.0794415416798357
nobeta,对照,42,0,16,32,256,0.42247891426086426,0.3614862561225891,0.42014768719673157,0.39320793747901917,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,28,16,16,29.93478947819157,0.0037056682631373405,27.00079345703125,0.8437747955322266,0.15622520446777344,0.09811301214898974,0.03717376249999653,2.0794415416798357
unbound,基准,42,0,16,64,256,0.44295063614845276,0.13820716738700867,0.4154208302497864,0.08340299874544144,-0.22259148955345154,1.0845128297805786,-4.944293975830078,1.2245677709579468,4,0,0,0.0625,0.0,64,16,16,18.664946635525165,2.6026689738500863e-05,33.013458251953125,0.5158352851867676,0.4841647148132324,0.00045924973869615156,0.04493530801444186,1.3862943611198906
box33,约束族,42,0,16,64,256,0.44341525435447693,0.1350349485874176,0.41486451029777527,0.08538410067558289,-0.1451641023159027,0.8761729598045349,-2.8905529975891113,1.2159007787704468,0,0,0,0.0,0.0,64,16,16,18.664946635525165,2.589147334219888e-05,33.58330535888672,0.524739146232605,0.475260853767395,0.0036137762737029782,0.04502822091002398,1.3862943611198906
box77,约束族,42,0,16,64,256,0.4429592788219452,0.1381492167711258,0.4154108464717865,0.08343900740146637,-0.21974152326583862,1.0744630098342896,-4.82684326171875,1.224410057067871,4,0,0,0.0625,0.0,64,16,16,18.664946635525165,2.6020241421065293e-05,33.02424621582031,0.5160038471221924,0.4839961528778076,0.0005165707263062268,0.04493693343731559,1.3862943611198906
box33_lam1em2,约束族,42,0,16,64,256,0.44101428985595703,0.11699895560741425,0.40950366854667664,0.07027536630630493,0.0572228841483593,0.5704756379127502,-1.9224121570587158,1.1450940370559692,0,0,0,0.0,0.0,64,16,16,18.664946635525165,0.00161817017942667,37.53148651123047,0.5864294767379761,0.4135705232620239,0.009781458037302888,0.04517017968005164,1.3862943611198906
